group,letter,noise,n_TP,n_FP,n_FN,n_COMPLEMENT,n_CICLO,n_samples,tasa_TP,tasa_FP,tasa_FN,tasa_COMPLEMENT,tasa_CICLO
AJKU,A,0.05,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
AJKU,A,0.1,29,0,0,0,1,30,0.9666666666666667,0.0,0.0,0.0,0.03333333333333333
AJKU,A,0.15,26,0,1,0,3,30,0.8666666666666667,0.0,0.03333333333333333,0.0,0.1
AJKU,A,0.2,25,0,1,0,4,30,0.8333333333333334,0.0,0.03333333333333333,0.0,0.13333333333333333
AJKU,A,0.25,19,1,4,0,6,30,0.6333333333333333,0.03333333333333333,0.13333333333333333,0.0,0.2
AJKU,A,0.3,10,4,6,0,10,30,0.3333333333333333,0.13333333333333333,0.2,0.0,0.3333333333333333
AJKU,A,0.35,9,3,8,2,8,30,0.3,0.1,0.26666666666666666,0.06666666666666667,0.26666666666666666
AJKU,A,0.4,6,4,8,3,9,30,0.2,0.13333333333333333,0.26666666666666666,0.1,0.3
AJKU,A,0.45,4,3,7,7,9,30,0.13333333333333333,0.1,0.23333333333333334,0.23333333333333334,0.3
AJKU,A,0.5,3,3,7,5,12,30,0.1,0.1,0.23333333333333334,0.16666666666666666,0.4
AJKU,A,0.55,1,5,9,4,11,30,0.03333333333333333,0.16666666666666666,0.3,0.13333333333333333,0.36666666666666664
AJKU,A,0.6,1,3,10,10,6,30,0.03333333333333333,0.1,0.3333333333333333,0.3333333333333333,0.2
AJKU,A,0.65,1,2,11,12,4,30,0.03333333333333333,0.06666666666666667,0.36666666666666664,0.4,0.13333333333333333
AJKU,J,0.05,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
AJKU,J,0.1,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
AJKU,J,0.15,27,0,2,0,1,30,0.9,0.0,0.06666666666666667,0.0,0.03333333333333333
AJKU,J,0.2,23,0,4,0,3,30,0.7666666666666667,0.0,0.13333333333333333,0.0,0.1
AJKU,J,0.25,20,0,4,1,5,30,0.6666666666666666,0.0,0.13333333333333333,0.03333333333333333,0.16666666666666666
AJKU,J,0.3,15,0,6,1,8,30,0.5,0.0,0.2,0.03333333333333333,0.26666666666666666
AJKU,J,0.35,11,3,9,2,5,30,0.36666666666666664,0.1,0.3,0.06666666666666667,0.16666666666666666
AJKU,J,0.4,8,4,8,3,7,30,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.1,0.23333333333333334
AJKU,J,0.45,3,6,5,6,10,30,0.1,0.2,0.16666666666666666,0.2,0.3333333333333333
AJKU,J,0.5,2,5,6,7,10,30,0.06666666666666667,0.16666666666666666,0.2,0.23333333333333334,0.3333333333333333
AJKU,J,0.55,1,3,7,9,10,30,0.03333333333333333,0.1,0.23333333333333334,0.3,0.3333333333333333
AJKU,J,0.6,1,3,8,12,6,30,0.03333333333333333,0.1,0.26666666666666666,0.4,0.2
AJKU,J,0.65,0,3,7,16,4,30,0.0,0.1,0.23333333333333334,0.5333333333333333,0.13333333333333333
AJKU,K,0.05,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
AJKU,K,0.1,29,0,1,0,0,30,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0
AJKU,K,0.15,29,0,1,0,0,30,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0
AJKU,K,0.2,23,0,4,0,3,30,0.7666666666666667,0.0,0.13333333333333333,0.0,0.1
AJKU,K,0.25,21,1,3,0,5,30,0.7,0.03333333333333333,0.1,0.0,0.16666666666666666
AJKU,K,0.3,18,1,5,0,6,30,0.6,0.03333333333333333,0.16666666666666666,0.0,0.2
AJKU,K,0.35,14,2,6,1,7,30,0.4666666666666667,0.06666666666666667,0.2,0.03333333333333333,0.23333333333333334
